Epoch:[65][  0/337] time:78128.90,net0_loss = -0.703, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.658, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[66][  0/337] time:79337.27,net0_loss = -0.700, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.704, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[67][  0/337] time:80551.03,net0_loss = -0.687, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.675, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[68][  0/337] time:81759.40,net0_loss = -0.709, net0_acc = 1.000, net0_test_acc = 0.969,    net1_loss = -0.671, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[69][  0/337] time:82998.09,net0_loss = -0.711, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.699, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[70][  0/337] time:84211.22,net0_loss = -0.713, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.699, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[71][  0/337] time:85442.74,net0_loss = -0.716, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.702, net1_acc = 1.000, net1_test_acc = 0.875
Epoch:[72][  0/337] time:86649.88,net0_loss = -0.690, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.703, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[73][  0/337] time:87890.84,net0_loss = -0.716, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.602, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[74][  0/337] time:89097.93,net0_loss = -0.720, net0_acc = 1.000, net0_test_acc = 0.969,    net1_loss = -0.714, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[75][  0/337] time:90340.05,net0_loss = -0.714, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.720, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[76][  0/337] time:91548.84,net0_loss = -0.703, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.720, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[77][  0/337] time:92794.32,net0_loss = -0.717, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.721, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[78][  0/337] time:94002.69,net0_loss = -0.715, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.725, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[79][  0/337] time:95255.94,net0_loss = -0.717, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.724, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[80][  0/337] time:96469.47,net0_loss = -0.722, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.735, net1_acc = 1.000, net1_test_acc = 0.875
Epoch:[81][  0/337] time:97704.95,net0_loss = -0.720, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.738, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[82][  0/337] time:98917.52,net0_loss = -0.724, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.736, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[83][  0/337] time:100139.23,net0_loss = -0.718, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.742, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[84][  0/337] time:101346.50,net0_loss = -0.728, net0_acc = 1.000, net0_test_acc = 0.844,    net1_loss = -0.742, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[85][  0/337] time:102581.35,net0_loss = -0.729, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.741, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[86][  0/337] time:103789.61,net0_loss = -0.732, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.744, net1_acc = 1.000, net1_test_acc = 0.875
Epoch:[87][  0/337] time:105024.36,net0_loss = -0.734, net0_acc = 1.000, net0_test_acc = 0.969,    net1_loss = -0.742, net1_acc = 1.000, net1_test_acc = 1.000
Epoch:[88][  0/337] time:106243.93,net0_loss = -0.733, net0_acc = 1.000, net0_test_acc = 0.969,    net1_loss = -0.746, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[89][  0/337] time:107472.15,net0_loss = -0.728, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.122, net1_acc = 0.969, net1_test_acc = 0.938
Epoch:[90][  0/337] time:108680.89,net0_loss = -0.734, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.740, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[91][  0/337] time:109906.84,net0_loss = -0.737, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.741, net1_acc = 1.000, net1_test_acc = 0.969
Epoch:[92][  0/337] time:111115.70,net0_loss = -0.738, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.735, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[93][  0/337] time:112353.33,net0_loss = -0.736, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.736, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[94][  0/337] time:113561.56,net0_loss = -0.725, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.728, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[95][  0/337] time:114792.17,net0_loss = -0.728, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.720, net1_acc = 1.000, net1_test_acc = 0.938
